course_id,Name,Provider,Description,Topic,Web URL
azure-llmops-workshop,LLMOps Workshop (Azure),Microsoft,Azure AI + PromptFlow workshop teaching build/eval/deploy/monitor and automation.,Lifecycle; Prompt Management; Eval; Observability; Deployment; Automation; Content safety,https://microsoft.github.io/llmops-workshop/
gcp-llmops-overview,LLMOps on Google Cloud,Google Cloud,Google Cloud guidance framing LLMOps lifecycle with Vertex AI components.,Lifecycle; Data; Training/Fine-tuning; Deployment; Monitoring & evaluation; Security/compliance,https://cloud.google.com/discover/what-is-llmops
aws-llmops-workshop,LLMOps Workshop (SageMaker open LLM),AWS Samples,"Hands-on OSS LLM operationalization with SageMaker. (register, finetune, pipeline, monitor, embeddings, RAG chatbot)",Lifecycle; Post-training (QLoRA); Pipelines; Monitoring; Eval; RAG; Deployment,https://github.com/aws-samples/llmops-workshop
aws-llmops-blog-series,Operationalize GenAI Apps with LLMOps (blog series),AWS,Platform-specific architecture/patterns for multi-account/multi-region LLMOps operationalization.,Lifecycle; Deployment; CI/CD; Governance patterns; Scaling/cost,https://aws.amazon.com/blogs/gametech/operationalize-generative-ai-applications-on-aws-part-i-overview-of-llmops-solution/
databricks-llmops,LLMOps on Databricks,Databricks,"Platform framing (MLflow-centric) for tracking, prompt engineering, deployment, monitoring.",Lifecycle; Prompt Management; Experiment tracking; Eval/Monitoring; Deployment; Cost/perf,https://www.databricks.com/glossary/llmops
ibm-llmops,LLMOps (IBM Think),IBM,Overview of LLMOps + enterprise governance orientation.,Lifecycle; Prompt Management; Experiment tracking; Pipelines; Governance/risk,https://www.ibm.com/think/topics/llmops
oracle-llmops,LLMOps (Oracle),Oracle,Oracle overview framing LLMOps as managing LLMs in production + monitoring/performance.,Lifecycle; Monitoring; Deployment; Cost/perf,https://www.oracle.com/artificial-intelligence/llmops/
hf-open-llmops-primitives,Open LLMOps Primitives (HF ecosystem),Hugging Face,Open-source ecosystem primitives for building/fine-tuning/serving LLMs.,Ecosystem primitives; PEFT; Distributed training; Post-training,https://huggingface.co/docs/trl/index
eleutherai-eval,LLMOps Evaluation Harness,EleutherAI,Open-source evaluation harness used widely for reproducible LLM evaluation.,Evaluation; Regression testing; Reproducibility,https://github.com/EleutherAI/lm-evaluation-harness
vllm-serving,vLLM Serving & OpenAI-Compatible API,vLLM Project,Open-source inference/serving engine with OpenAI-compatible server.,Deployment/Serving; Performance; OpenAI-compatible endpoints,https://docs.vllm.ai/
phoenix-observability,Phoenix Observability & Evals,Arize Phoenix,Open-source observability (tracing) + evaluation + datasets/experiments.,Observability; Tracing; Eval; Experiments,https://arize.com/docs/phoenix/
mlflow-genai,MLflow for GenAI (Prompt Registry + Eval),MLflow,Open-source lifecycle tooling for prompts + eval and tracking.,Prompt Management; Eval; Tracking,https://mlflow.org/docs/latest/genai/prompt-registry/evaluate-prompts/
openrlhf-posttraining,OpenRLHF (RLHF pipelines),OpenRLHF,Open-source scalable RLHF pipeline framework.,Post-training (RLHF); Scaling/cost; Serving integration,https://github.com/OpenRLHF/OpenRLHF
langchain-observability,LangChain Observability (OSS),LangChain,Orchestration framework + observability hooks.,Observability; Tracing; Agent workflow debugging,https://docs.langchain.com/oss/python/langchain/observability
llamaindex-observability,LlamaIndex Observability (OSS),LlamaIndex,RAG/agent framework + observability integrations.,Observability; Tracing; RAG workflow debugging,https://developers.llamaindex.ai/python/framework/module_guides/observability/
openclaw-gettingstarted,OpenClaw Getting Started,OpenClaw,Runtime gateway setup + CLI onboarding for LLM agent operations.,Lifecycle; Deployment; Automation; Basic Monitoring; Security Configuration,https://docs.openclaw.ai/start/getting-started